128.114.143.194, 2019-04-19 19:54:02, GET, /, HTTP/1.1, 303, 0.000790
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.371861
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000568
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000511
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000431
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000282
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000213
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000211
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000542
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000340
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000661
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000414
128.114.143.194, 2019-04-19 19:54:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000500
128.114.143.194, 2019-04-19 19:54:21, GET, /hw1, HTTP/1.1, 404, 0.000526
128.114.143.194, 2019-04-19 19:54:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
128.114.143.194, 2019-04-19 19:54:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.053833
128.114.143.160, 2019-04-20 19:32:54, GET, /hw2/default/, HTTP/1.1, 500, 0.708299
128.114.143.160, 2019-04-20 19:32:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
128.114.143.160, 2019-04-20 19:33:05, GET, /hw2/default/index, HTTP/1.1, 500, 0.051567
128.114.143.160, 2019-04-20 19:33:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
128.114.143.160, 2019-04-20 19:35:08, GET, /hw2/default/index, HTTP/1.1, 500, 0.103334
128.114.143.160, 2019-04-20 19:35:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
128.114.143.160, 2019-04-20 19:35:10, GET, /hw2/default/index, HTTP/1.1, 500, 0.035125
128.114.143.160, 2019-04-20 19:35:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/default/index, HTTP/1.1, 200, 0.096402
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.000598
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.000600
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.000296
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.000218
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.000215
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000388
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.000238
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.000240
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.000521
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.000313
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.000336
128.114.143.160, 2019-04-20 19:39:27, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000535
128.114.143.160, 2019-04-20 19:39:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
128.114.143.160, 2019-04-20 19:39:37, GET, /hw2/default/, HTTP/1.1, 200, 0.017361
128.114.143.160, 2019-04-20 19:39:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
128.114.143.160, 2019-04-20 19:46:46, GET, /hw2/default/, HTTP/1.1, 200, 0.082350
128.114.143.160, 2019-04-20 19:46:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/default/, HTTP/1.1, 200, 0.018230
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/css/stupid.css, HTTP/1.1, 200, 0.000421
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/css/custom.css, HTTP/1.1, 200, 0.000561
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/css/web2py.css, HTTP/1.1, 200, 0.000299
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.000189
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/css/myapp.css, HTTP/1.1, 200, 0.000202
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000195
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.000483
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.000338
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.000253
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/js/marked.min.js, HTTP/1.1, 200, 0.000253
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/js/vue.min.js, HTTP/1.1, 200, 0.000383
128.114.143.160, 2019-04-20 19:46:54, GET, /hw2/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000511
128.114.143.160, 2019-04-20 19:46:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
128.114.143.160, 2019-04-20 19:49:46, GET, /hw2/default/, HTTP/1.1, 500, 0.403340
128.114.143.160, 2019-04-20 19:49:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
128.114.143.160, 2019-04-20 19:50:25, GET, /hw2/default/, HTTP/1.1, 500, 0.285901
128.114.143.160, 2019-04-20 19:50:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
128.114.143.160, 2019-04-20 19:51:27, GET, /hw2/default/, HTTP/1.1, 500, 0.107125
128.114.143.160, 2019-04-20 19:51:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
128.114.143.160, 2019-04-20 19:52:17, GET, /hw2/default/, HTTP/1.1, 200, 0.084302
128.114.143.160, 2019-04-20 19:52:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
128.114.143.160, 2019-04-20 19:53:08, GET, /hw2/default/, HTTP/1.1, 500, 0.104201
128.114.143.160, 2019-04-20 19:53:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000283
128.114.143.160, 2019-04-20 19:54:53, GET, /hw2/default/, HTTP/1.1, 200, 0.109465
128.114.143.160, 2019-04-20 19:54:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
128.114.143.160, 2019-04-20 19:55:33, GET, /hw2/default/, HTTP/1.1, 500, 0.110628
128.114.143.160, 2019-04-20 19:55:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
128.114.143.160, 2019-04-20 19:56:03, GET, /hw2/default/, HTTP/1.1, 200, 0.093100
128.114.143.160, 2019-04-20 19:56:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
128.114.143.160, 2019-04-20 19:56:20, GET, /hw2/default/, HTTP/1.1, 200, 0.117821
128.114.143.160, 2019-04-20 19:56:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
128.114.143.160, 2019-04-20 20:10:33, GET, /hw2/default/, HTTP/1.1, 200, 0.097289
128.114.143.160, 2019-04-20 20:10:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
128.114.143.160, 2019-04-20 20:16:02, GET, /hw2/default/, HTTP/1.1, 200, 0.140107
128.114.143.160, 2019-04-20 20:16:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000346
128.114.143.162, 2019-04-22 02:03:31, GET, /hw2/default/, HTTP/1.1, 500, 0.230516
128.114.143.162, 2019-04-22 02:03:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
128.114.143.162, 2019-04-22 02:04:34, GET, /hw2/default/index, HTTP/1.1, 500, 0.097192
